date_created,problem_type,market,call_type,number_of_calls
1/1/22,type_1,market_1,initial_call,30
1/1/22,type_1,market_1,repeat_call_1,6
1/1/22,type_1,market_1,repeat_call_2,0
1/1/22,type_1,market_1,repeat_call_3,1
1/1/22,type_1,market_1,repeat_call_4,2
1/1/22,type_1,market_1,repeat_call_5,0
1/1/22,type_1,market_1,repeat_call_6,1
1/1/22,type_1,market_1,repeat_call_7,0
1/1/22,type_2,market_1,initial_call,97
1/1/22,type_2,market_1,repeat_call_1,3
1/1/22,type_2,market_1,repeat_call_2,5
1/1/22,type_2,market_1,repeat_call_3,3
1/1/22,type_2,market_1,repeat_call_4,2
1/1/22,type_2,market_1,repeat_call_5,3
1/1/22,type_2,market_1,repeat_call_6,1
1/1/22,type_2,market_1,repeat_call_7,2
1/1/22,type_5,market_1,initial_call,166
1/1/22,type_5,market_1,repeat_call_1,12
1/1/22,type_5,market_1,repeat_call_2,13
1/1/22,type_5,market_1,repeat_call_3,7
1/1/22,type_5,market_1,repeat_call_4,8
1/1/22,type_5,market_1,repeat_call_5,2
1/1/22,type_5,market_1,repeat_call_6,1
1/1/22,type_5,market_1,repeat_call_7,5
1/1/22,type_3,market_1,initial_call,7
1/1/22,type_3,market_1,repeat_call_1,0
1/1/22,type_3,market_1,repeat_call_2,0
1/1/22,type_3,market_1,repeat_call_3,0
1/1/22,type_3,market_1,repeat_call_4,0
1/1/22,type_3,market_1,repeat_call_5,0
1/1/22,type_3,market_1,repeat_call_6,0
1/1/22,type_3,market_1,repeat_call_7,1
1/1/22,type_4,market_1,initial_call,0
1/1/22,type_4,market_1,repeat_call_1,0
1/1/22,type_4,market_1,repeat_call_2,0
1/1/22,type_4,market_1,repeat_call_3,0
1/1/22,type_4,market_1,repeat_call_4,0
1/1/22,type_4,market_1,repeat_call_5,0
1/1/22,type_4,market_1,repeat_call_6,0
1/1/22,type_4,market_1,repeat_call_7,0
1/1/22,type_1,market_3,initial_call,2
1/1/22,type_1,market_3,repeat_call_1,0
1/1/22,type_1,market_3,repeat_call_2,1
1/1/22,type_1,market_3,repeat_call_3,0
1/1/22,type_1,market_3,repeat_call_4,0
1/1/22,type_1,market_3,repeat_call_5,1
1/1/22,type_1,market_3,repeat_call_6,0
1/1/22,type_1,market_3,repeat_call_7,0
1/1/22,type_4,market_3,initial_call,1
1/1/22,type_4,market_3,repeat_call_1,0
1/1/22,type_4,market_3,repeat_call_2,0
1/1/22,type_4,market_3,repeat_call_3,0
1/1/22,type_4,market_3,repeat_call_4,0
1/1/22,type_4,market_3,repeat_call_5,0
1/1/22,type_4,market_3,repeat_call_6,0
1/1/22,type_4,market_3,repeat_call_7,0
1/1/22,type_3,market_3,initial_call,2
1/1/22,type_3,market_3,repeat_call_1,0
1/1/22,type_3,market_3,repeat_call_2,1
1/1/22,type_3,market_3,repeat_call_3,1
1/1/22,type_3,market_3,repeat_call_4,1
1/1/22,type_3,market_3,repeat_call_5,0
1/1/22,type_3,market_3,repeat_call_6,0
1/1/22,type_3,market_3,repeat_call_7,0
1/1/22,type_2,market_3,initial_call,7
1/1/22,type_2,market_3,repeat_call_1,0
1/1/22,type_2,market_3,repeat_call_2,0
1/1/22,type_2,market_3,repeat_call_3,1
1/1/22,type_2,market_3,repeat_call_4,0
1/1/22,type_2,market_3,repeat_call_5,0
1/1/22,type_2,market_3,repeat_call_6,0
1/1/22,type_2,market_3,repeat_call_7,0
1/1/22,type_5,market_3,initial_call,31
1/1/22,type_5,market_3,repeat_call_1,2
1/1/22,type_5,market_3,repeat_call_2,0
1/1/22,type_5,market_3,repeat_call_3,1
1/1/22,type_5,market_3,repeat_call_4,3
1/1/22,type_5,market_3,repeat_call_5,0
1/1/22,type_5,market_3,repeat_call_6,2
1/1/22,type_5,market_3,repeat_call_7,0
1/1/22,type_1,market_2,initial_call,2
1/1/22,type_1,market_2,repeat_call_1,0
1/1/22,type_1,market_2,repeat_call_2,0
1/1/22,type_1,market_2,repeat_call_3,0
1/1/22,type_1,market_2,repeat_call_4,0
1/1/22,type_1,market_2,repeat_call_5,0
1/1/22,type_1,market_2,repeat_call_6,0
1/1/22,type_1,market_2,repeat_call_7,0
1/1/22,type_5,market_2,initial_call,20
1/1/22,type_5,market_2,repeat_call_1,3
1/1/22,type_5,market_2,repeat_call_2,1
1/1/22,type_5,market_2,repeat_call_3,0
1/1/22,type_5,market_2,repeat_call_4,0
1/1/22,type_5,market_2,repeat_call_5,0
1/1/22,type_5,market_2,repeat_call_6,1
1/1/22,type_5,market_2,repeat_call_7,0
1/1/22,type_2,market_2,initial_call,21
1/1/22,type_2,market_2,repeat_call_1,2
1/1/22,type_2,market_2,repeat_call_2,4
1/1/22,type_2,market_2,repeat_call_3,0
1/1/22,type_2,market_2,repeat_call_4,0
1/1/22,type_2,market_2,repeat_call_5,1
1/1/22,type_2,market_2,repeat_call_6,1
1/1/22,type_2,market_2,repeat_call_7,0
1/1/22,type_3,market_2,initial_call,0
1/1/22,type_3,market_2,repeat_call_1,0
1/1/22,type_3,market_2,repeat_call_2,0
1/1/22,type_3,market_2,repeat_call_3,0
